"site","description"
"http://60jahresozialstaat.de","Bundesministerium für Arbeit und Soziales"
"http://a9digital.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://adele-esf.de","Bundesministerium für Arbeit und Soziales"
"http://agrowetter.de","Deutscher Wetterdienst"
"http://agrowetter.eu","Deutscher Wetterdienst"
"http://aktionsplan-allergien.de","Bundesamt für Verbraucherschutz und Lebensmittelsicherheit"
"http://xn--allianz-fr-arbeitskrfte-f8b20d.de","Bundesministerium für Arbeit und Soziales"
"http://xn--allianz-fr-fachkrfte-rzb33c.de","Bundesministerium für Arbeit und Soziales"
"http://allianz-fuer-arbeitskraefte.de","Bundesministerium für Arbeit und Soziales"
"http://allianz-fuer-fachkraefte.de","Bundesministerium für Arbeit und Soziales"
"http://alpenflugwetter.com","Deutscher Wetterdienst"
"http://alpenflugwetter.de","Deutscher Wetterdienst"
"http://alpenflugwetter.eu","Deutscher Wetterdienst"
"http://alpenwetter.eu","Deutscher Wetterdienst"
"http://altersvorsorgemachtschule.com","Bundesministerium für Arbeit und Soziales"
"http://altersvorsorgemachtschule.de","Bundesministerium für Arbeit und Soziales"
"http://altersvorsorgemachtschule.info","Bundesministerium für Arbeit und Soziales"
"http://altersvorsorgemachtschule.net","Bundesministerium für Arbeit und Soziales"
"http://altersvorsorgemachtschule.org","Bundesministerium für Arbeit und Soziales"
"http://anticorruption.help","Bundesverwaltungsamt"
"http://arb-5.de","Bundesministerium für Arbeit und Soziales"
"http://arbeit-4-null.de","Bundesministerium für Arbeit und Soziales"
"http://arbeit-4-punkt-null.de","Bundesministerium für Arbeit und Soziales"
"http://arbeitderzukunft.de","Bundesministerium für Arbeit und Soziales"
"http://arbeiten-4-0.de","Bundesministerium für Arbeit und Soziales"
"http://arbeiten4null.de","Bundesministerium für Arbeit und Soziales"
"http://arbeiten4punktnull.de","Bundesministerium für Arbeit und Soziales"
"http://arbeitenbis67.de","Bundesministerium für Arbeit und Soziales"
"http://arbeitenviernull.de","Bundesministerium für Arbeit und Soziales"
"http://arbeitenvierpunktnull.de","Bundesministerium für Arbeit und Soziales"
"http://arbeit-psyche.de","Bundesministerium für Arbeit und Soziales"
"http://arbeitsagentur.de","Bundesagentur für Arbeit"
"http://arbeitsmarktreform.de","Bundesministerium für Arbeit und Soziales"
"http://arbeitsministerium.eu","Bundesministerium für Arbeit und Soziales"
"http://arbeitsschutz-forschung.de","Bundesministerium für Arbeit und Soziales"
"http://arbeitvierpunktnull.de","Bundesministerium für Arbeit und Soziales"
